shear_rate,shear_stress,viscosity,torque
724,3.58,0.00495,87.6
748,3.43,0.00458,83.7
772,3.53,0.00457,86.2
798,3.92,0.00492,95.9
824,4,0.00486,97.8
851,3.93,0.00462,96.2
879,4.06,0.00463,99.3
908,4.29,0.00473,105
938,4.46,0.00476,109
968,4.72,0.00488,115
1000,4.55,0.00455,111
