shear_rate,shear_stress,viscosity,torque
748,4.38,0.00586,107
772,4.69,0.00608,115
798,4.74,0.00594,116
824,4.61,0.0056,113
851,5.13,0.00603,125
879,5.01,0.0057,122
908,5.35,0.00589,131
937,5.43,0.0058,133
968,5.53,0.00571,135
1000,5.91,0.00591,144
