shear_rate,shear_stress,viscosity,torque
748,4.14,0.00554,101
772,4.22,0.00546,103
798,4.37,0.00548,107
824,4.39,0.00533,107
851,4.1,0.00482,100
879,4.62,0.00526,113
908,4.63,0.0051,113
937,4.74,0.00505,116
968,4.85,0.00501,119
1000,4.95,0.00495,121
