shear_rate,shear_stress,viscosity,torque
0.39,0.0941,0.241,2.3
0.403,0.0958,0.238,2.34
0.416,0.0987,0.237,2.41
0.43,0.101,0.234,2.46
0.444,0.101,0.228,2.47
0.458,0.108,0.235,2.63
0.473,0.106,0.223,2.58
0.489,0.106,0.216,2.59
0.505,0.109,0.215,2.66
0.522,0.109,0.208,2.66
0.539,0.108,0.201,2.65
0.556,0.115,0.206,2.81
0.575,0.114,0.198,2.79
0.594,0.114,0.192,2.79
0.613,0.119,0.193,2.9
0.633,0.12,0.19,2.94
0.654,0.124,0.19,3.04
0.675,0.126,0.186,3.07
0.697,0.129,0.185,3.15
0.721,0.127,0.176,3.09
0.744,0.131,0.176,3.2
0.768,0.134,0.174,3.26
0.794,0.136,0.171,3.32
0.82,0.137,0.167,3.35
0.847,0.138,0.163,3.37
0.875,0.143,0.163,3.48
0.903,0.146,0.161,3.56
0.933,0.148,0.158,3.61
0.964,0.149,0.154,3.64
0.995,0.152,0.152,3.71
1.03,0.154,0.15,3.76
1.06,0.155,0.146,3.79
1.1,0.158,0.144,3.87
1.13,0.161,0.143,3.94
1.17,0.163,0.139,3.99
1.21,0.165,0.137,4.04
1.25,0.169,0.135,4.13
1.29,0.172,0.133,4.19
1.33,0.175,0.131,4.27
1.37,0.178,0.129,4.35
1.42,0.181,0.128,4.43
1.47,0.183,0.125,4.48
1.51,0.186,0.123,4.55
1.56,0.188,0.12,4.6
1.62,0.193,0.119,4.71
1.67,0.195,0.117,4.76
1.72,0.199,0.116,4.87
1.78,0.201,0.113,4.92
1.84,0.204,0.111,4.99
1.9,0.208,0.11,5.09
1.96,0.211,0.108,5.17
2.03,0.214,0.106,5.23
2.09,0.218,0.104,5.33
2.16,0.221,0.102,5.4
2.23,0.225,0.101,5.49
2.31,0.228,0.0988,5.57
2.38,0.232,0.0975,5.67
2.46,0.235,0.0956,5.74
2.54,0.239,0.0941,5.84
2.62,0.243,0.0927,5.94
2.71,0.247,0.0911,6.03
2.8,0.25,0.0894,6.11
2.89,0.255,0.0881,6.23
2.99,0.258,0.0866,6.32
3.08,0.262,0.085,6.4
3.18,0.267,0.0837,6.51
3.29,0.27,0.082,6.59
3.4,0.274,0.0807,6.7
3.51,0.278,0.0791,6.78
3.62,0.281,0.0776,6.87
3.74,0.286,0.0765,7
3.87,0.29,0.0752,7.1
3.99,0.294,0.0735,7.18
4.12,0.298,0.0723,7.28
4.26,0.303,0.0711,7.4
4.4,0.307,0.0697,7.5
4.54,0.312,0.0687,7.63
4.69,0.318,0.0677,7.76
4.85,0.321,0.0662,7.83
5,0.326,0.0651,7.96
5.17,0.33,0.0638,8.06
5.34,0.336,0.0628,8.2
5.51,0.34,0.0617,8.32
5.7,0.344,0.0605,8.41
5.88,0.351,0.0597,8.58
6.08,0.354,0.0583,8.66
6.27,0.362,0.0576,8.84
6.48,0.366,0.0564,8.93
6.69,0.373,0.0557,9.11
6.91,0.377,0.0546,9.22
7.14,0.386,0.054,9.42
7.37,0.389,0.0528,9.51
7.62,0.396,0.052,9.68
7.87,0.402,0.0511,9.82
8.13,0.406,0.05,9.92
8.39,0.413,0.0492,10.1
8.67,0.418,0.0482,10.2
8.95,0.423,0.0473,10.3
9.25,0.43,0.0465,10.5
9.55,0.435,0.0456,10.6
9.86,0.438,0.0444,10.7
10.2,0.445,0.0437,10.9
10.5,0.454,0.0432,11.1
10.9,0.46,0.0423,11.2
11.2,0.468,0.0417,11.4
11.6,0.473,0.0408,11.6
12,0.48,0.0401,11.7
12.4,0.488,0.0395,11.9
12.8,0.495,0.0388,12.1
13.2,0.502,0.038,12.3
13.6,0.507,0.0372,12.4
14.1,0.514,0.0365,12.6
14.5,0.521,0.0358,12.7
15,0.529,0.0353,12.9
15.5,0.539,0.0348,13.2
16,0.546,0.0341,13.3
16.5,0.552,0.0334,13.5
17.1,0.563,0.033,13.8
17.6,0.574,0.0325,14
18.2,0.578,0.0317,14.1
18.8,0.586,0.0312,14.3
19.4,0.592,0.0304,14.5
20.1,0.601,0.03,14.7
20.7,0.61,0.0294,14.9
21.4,0.622,0.0291,15.2
22.1,0.633,0.0286,15.5
22.8,0.64,0.028,15.6
23.6,0.647,0.0274,15.8
24.4,0.654,0.0268,16
25.2,0.663,0.0263,16.2
26,0.675,0.026,16.5
26.8,0.687,0.0256,16.8
27.7,0.698,0.0252,17.1
28.6,0.704,0.0246,17.2
29.6,0.709,0.024,17.3
30.5,0.72,0.0236,17.6
31.5,0.735,0.0233,18
32.6,0.747,0.0229,18.3
33.7,0.751,0.0223,18.4
34.8,0.758,0.0218,18.5
35.9,0.775,0.0216,18.9
37.1,0.796,0.0215,19.5
38.3,0.802,0.0209,19.6
39.6,0.803,0.0203,19.6
40.9,0.82,0.0201,20
42.2,0.841,0.0199,20.6
43.6,0.844,0.0194,20.6
45,0.846,0.0188,20.7
46.5,0.872,0.0187,21.3
48,0.892,0.0186,21.8
49.6,0.888,0.0179,21.7
51.2,0.912,0.0178,22.3
52.9,0.933,0.0176,22.8
54.6,0.923,0.0169,22.6
56.4,0.949,0.0168,23.2
58.3,0.97,0.0166,23.7
60.2,0.958,0.0159,23.4
62.2,1,0.0161,24.5
64.2,0.996,0.0155,24.3
66.3,1.02,0.0154,25
68.5,1.04,0.0152,25.4
70.7,1.04,0.0146,25.3
73.1,1.08,0.0148,26.5
75.5,1.06,0.0141,25.9
77.9,1.12,0.0144,27.3
80.5,1.09,0.0135,26.6
83.1,1.15,0.0138,28.1
85.9,1.13,0.0131,27.6
88.7,1.17,0.0132,28.7
91.6,1.19,0.013,29.1
94.6,1.17,0.0124,28.7
97.7,1.25,0.0128,30.6
101,1.21,0.012,29.6
104,1.24,0.0119,30.2
108,1.31,0.0122,32.1
111,1.27,0.0114,31.1
115,1.27,0.0111,31
119,1.36,0.0115,33.2
123,1.4,0.0114,34.2
127,1.36,0.0108,33.3
131,1.33,0.0102,32.6
135,1.36,0.0101,33.2
139,1.42,0.0102,34.6
144,1.48,0.0103,36.1
149,1.53,0.0103,37.3
154,1.56,0.0102,38.1
159,1.58,0.00998,38.7
164,1.6,0.00975,39.1
169,1.59,0.00941,38.9
175,1.57,0.00896,38.3
181,1.54,0.00854,37.7
186,1.59,0.00855,39
193,1.73,0.009,42.3
199,1.77,0.00892,43.4
205,1.66,0.00808,40.6
212,1.76,0.00828,42.9
219,1.85,0.00845,45.2
226,1.74,0.00769,42.5
234,1.93,0.00828,47.3
241,1.81,0.00748,44.2
249,1.96,0.00787,48
258,1.95,0.00756,47.6
266,1.92,0.00722,47
275,2.04,0.00742,49.8
284,2.09,0.00736,51
293,2.09,0.00715,51.2
303,2.12,0.007,51.8
313,2.16,0.00691,52.8
323,2.21,0.00684,53.9
333,2.23,0.00669,54.5
344,2.24,0.0065,54.7
356,2.34,0.00658,57.2
367,2.47,0.00671,60.3
379,2.33,0.00613,56.8
392,2.62,0.00667,63.9
405,2.39,0.0059,58.4
418,2.72,0.0065,66.4
432,2.79,0.00646,68.2
446,2.63,0.00591,64.4
461,2.6,0.00565,63.6
476,2.67,0.0056,65.2
491,2.85,0.0058,69.6
507,3.18,0.00626,77.7
524,3.14,0.00598,76.7
541,3.03,0.0056,74.1
559,3.34,0.00597,81.6
577,3.37,0.00584,82.4
596,3.36,0.00563,82
616,3.5,0.00568,85.5
636,3.64,0.00572,88.9
657,3.77,0.00574,92.1
679,3.69,0.00544,90.2
701,4,0.00571,97.8
724,3.82,0.00527,93.2
748,4.3,0.00575,105
772,4.51,0.00584,110
798,4.61,0.00578,113
824,4.45,0.0054,109
851,4.4,0.00517,108
879,4.79,0.00545,117
908,4.92,0.00542,120
937,4.97,0.0053,121
968,5.02,0.00519,123
1000,5.27,0.00527,129
