shear_rate,shear_stress,viscosity,torque
0.0101,0.00522,0.516,0.128
0.0105,0.00512,0.488,0.125
0.0108,0.00553,0.511,0.135
0.0111,0.00581,0.521,0.142
0.0116,0.00562,0.486,0.137
0.0119,0.00623,0.524,0.152
0.0123,0.0066,0.537,0.161
0.0127,0.00655,0.515,0.16
0.0131,0.00718,0.547,0.175
0.0136,0.00704,0.519,0.172
0.014,0.00737,0.526,0.18
0.0144,0.00797,0.552,0.195
0.0149,0.00801,0.536,0.196
0.0155,0.00821,0.531,0.201
0.0159,0.00851,0.535,0.208
0.0164,0.00896,0.545,0.219
0.017,0.00912,0.537,0.223
0.0176,0.00948,0.54,0.232
0.0182,0.00979,0.539,0.239
0.0187,0.01,0.535,0.245
0.0193,0.0109,0.567,0.268
0.02,0.0107,0.534,0.26
0.0207,0.0112,0.542,0.274
0.0213,0.0119,0.56,0.292
0.022,0.012,0.545,0.293
0.0227,0.0126,0.556,0.308
0.0235,0.0129,0.549,0.315
0.0243,0.0135,0.558,0.331
0.025,0.0142,0.568,0.347
0.0259,0.014,0.542,0.343
0.0268,0.0144,0.537,0.351
0.0276,0.0152,0.55,0.371
0.0285,0.016,0.563,0.392
0.0295,0.0164,0.557,0.401
0.0304,0.0173,0.57,0.423
0.0314,0.0174,0.553,0.425
0.0324,0.0182,0.562,0.446
0.0335,0.0185,0.552,0.452
0.0347,0.0188,0.542,0.459
0.0358,0.0187,0.522,0.457
0.0369,0.0198,0.537,0.484
0.0381,0.0205,0.537,0.5
0.0393,0.0222,0.564,0.543
0.0407,0.0223,0.548,0.544
0.042,0.0214,0.508,0.522
0.0434,0.023,0.531,0.563
0.0448,0.0229,0.512,0.561
0.0462,0.024,0.518,0.586
0.0478,0.024,0.501,0.586
0.0493,0.0257,0.522,0.629
0.051,0.026,0.511,0.636
0.0527,0.0271,0.514,0.662
0.0543,0.028,0.515,0.683
0.0562,0.0278,0.495,0.679
0.058,0.0285,0.491,0.696
0.0599,0.0297,0.495,0.725
0.0619,0.0301,0.486,0.736
0.0639,0.0312,0.489,0.764
0.066,0.0325,0.493,0.795
0.0682,0.0332,0.487,0.812
0.0704,0.0339,0.482,0.829
0.0727,0.0347,0.477,0.847
0.0751,0.0366,0.487,0.895
0.0776,0.0356,0.459,0.87
0.0801,0.0375,0.468,0.916
0.0828,0.0376,0.454,0.919
0.0855,0.0396,0.462,0.967
0.0882,0.0407,0.461,0.994
0.091,0.0427,0.469,1.04
0.094,0.0432,0.459,1.05
0.0972,0.0448,0.461,1.09
0.1,0.0449,0.447,1.1
0.104,0.044,0.423,1.07
0.107,0.0478,0.447,1.17
0.111,0.0463,0.418,1.13
0.114,0.0493,0.432,1.2
0.118,0.049,0.415,1.2
0.122,0.0501,0.41,1.22
0.126,0.0514,0.408,1.26
0.13,0.0529,0.407,1.29
0.134,0.0534,0.397,1.31
0.139,0.0551,0.398,1.35
0.143,0.0557,0.388,1.36
0.148,0.0589,0.399,1.44
0.153,0.0589,0.385,1.44
0.158,0.0585,0.371,1.43
0.163,0.0621,0.381,1.52
0.168,0.062,0.368,1.52
0.174,0.0611,0.352,1.49
0.18,0.0613,0.341,1.5
0.186,0.0632,0.34,1.54
0.192,0.0652,0.34,1.59
0.198,0.067,0.339,1.64
0.205,0.0666,0.325,1.63
0.211,0.071,0.336,1.74
0.218,0.0722,0.331,1.76
0.225,0.0739,0.328,1.81
0.233,0.0717,0.308,1.75
0.24,0.0755,0.314,1.85
0.248,0.0763,0.308,1.87
0.256,0.0776,0.303,1.9
0.265,0.0808,0.305,1.97
0.274,0.0769,0.281,1.88
0.283,0.0797,0.282,1.95
0.292,0.0805,0.276,1.97
0.302,0.0825,0.273,2.02
0.311,0.0847,0.272,2.07
0.322,0.0846,0.263,2.07
0.332,0.0869,0.262,2.12
0.342,0.0937,0.274,2.29
0.354,0.0901,0.254,2.2
0.366,0.0921,0.252,2.25
0.378,0.0939,0.249,2.29
